date,MFI stocks, MFI flows, %-change
2020Sep,9952127,92730,13.8
2020Aug,9854825,71006,13.2
2020Jul,9785834,159092,13.5
2020Jun,9706066,76449,12.6
2020May,9631257,122999,12.5
2020Apr,9506460,166162,11.9
2020Mar,9337412,274953,10.4
2020Feb,9063135,89672,8.1
2020Jan,8972285,24028,7.9
2019Dec,8944190,15740,8.0
2019Nov,8933023,48093,8.3
2019Oct,8881656,74767,8.4
2019Sep,8809816,35579,7.9
2019Aug,8771059,88104,8.4
2019Jul,8680193,72750,7.8
2019Jun,8604407,57953,7.2
2019May,8550690,59832,7.1
2019Apr,8491085,34982,7.4
2019Mar,8456363,78799,7.5
2019Feb,8373198,64218,6.7
2019Jan,8308169,28969,6.2
2018Dec,8278056,40662,6.6
2018Nov,8240131,49117,6.7
2018Oct,8191654,35667,6.8
2018Sep,8157025,69404,6.8
2018Aug,8086523,35194,6.5
2018Jul,8049811,26042,7.0
2018Jun,8023748,47262,7.4
2018May,7975725,71705,7.5
2018Apr,7897114,40004,7.1
2018Mar,7853783,14531,7.4
2018Feb,7840794,29413,8.4
2018Jan,7807126,56441,8.8
2017Dec,7750111,39722,8.8
2017Nov,7714361,56071,9.1
2017Oct,7662139,35156,9.5
2017Sep,7623913,41474,9.7
2017Aug,7581400,65829,9.6
2017Jul,7519014,53069,9.3
2017Jun,7473339,55473,9.6
2017May,7421705,36607,9.1
2017Apr,7396497,58598,9.2
2017Mar,7342482,80651,9.0
2017Feb,7264199,54478,8.4
2017Jan,7206138,51501,8.5
2016Dec,7158714,59502,8.7
2016Nov,7140654,72634,8.4
2016Oct,7061015,47979,8.1
2016Sep,7004305,30256,8.4
2016Aug,6975018,43114,8.6
2016Jul,6932571,69616,8.6
2016Jun,6863776,20067,8.7
2016May,6844415,36602,9.1
2016Apr,6803029,42742,9.7
2016Mar,6759064,34766,10.1
2016Feb,6733758,56746,10.5
2016Jan,6676253,63999,10.5
2015Dec,6614314,35561,10.6
2015Nov,6583547,46909,10.9
2015Oct,6528247,62873,11.5
2015Sep,6461165,36838,11.2
2015Aug,6425439,40374,11.4
2015Jul,6390588,71230,11.7
2015Jun,6315456,44250,11.2
2015May,6275937,64426,10.9
2015Apr,6207127,65214,10.4
2015Mar,6149589,50780,9.4
2015Feb,6091409,52264,9.0
2015Jan,6037446,64909,8.8
2014Dec,5944224,44452,8.0
2014Nov,5792905,70147,6.9
2014Oct,5722986,41295,6.0
2014Sep,5681168,43177,6.0
2014Aug,5631454,48250,5.8
2014Jul,5581223,38922,5.7
2014Jun,5542006,26300,5.6
2014May,5515749,31819,5.2
2014Apr,5481147,7439,5.1
2014Mar,5474122,23325,5.8
2014Feb,5450665,37481,5.9
2014Jan,5416147,20699,5.9
2013Dec,5384753,-15758,5.7
2013Nov,5401634,18974,6.6
2013Oct,5382140,39907,6.7
2013Sep,5344032,31885,6.8
2013Aug,5313782,38972,6.8
2013Jul,5273796,34804,6.9
2013Jun,5240613,467,7.5
2013May,5241221,28322,8.0
2013Apr,5213316,41394,8.4
2013Mar,5176416,26659,7.0
2013Feb,5145986,34289,7.0
2013Jan,5106986,9504,6.5
2012Dec,5102620,29215,6.7
2012Nov,5095364,22078,6.3
2012Oct,5073502,45606,6.1
2012Sep,5028346,28547,5.3
2012Aug,5003166,38909,4.8
2012Jul,4969814,62169,4.7
2012Jun,4905868,22310,3.5
2012May,4882741,44865,3.4
2012Apr,4831052,-25367,2.3
2012Mar,4854810,28094,2.6
2012Feb,4825985,8595,2.3
2012Jan,4819937,18034,2.2
2011Dec,4803639,8380,1.9
2011Nov,4791163,10781,2.2
2011Oct,4778972,9933,2.0
2011Sep,4772859,304,1.9
2011Aug,4765672,32760,1.7
2011Jul,4734429,5155,1.2
2011Jun,4726730,17732,1.4
2011May,4709734,-5970,1.4
2011Apr,4712004,-9202,1.7
2011Mar,4727451,11496,3.0
2011Feb,4717723,3072,3.1
2011Jan,4715428,3106,3.5
2010Dec,4709706,21603,4.4
2010Nov,4688394,3957,4.7
2010Oct,4678920,3179,5.1
2010Sep,4677418,-9181,6.1
2010Aug,4693587,12166,7.7
2010Jul,4679379,11330,8.2
2010Jun,4673602,18214,9.4
2010May,4649851,10021,10.2
2010Apr,4632521,50271,10.5
2010Mar,4581206,12167,10.9
2010Feb,4568994,20968,11.2
2010Jan,4546051,45355,11.7
2009Dec,4500560,30404,12.3
2009Nov,4467108,20595,12.4
2009Oct,4447335,46866,11.7
2009Sep,4400829,55963,12.8
2009Aug,4345773,32702,13.1
2009Jul,4313849,56323,11.9
2009Jun,4257484,48988,9.6
2009May,4208701,19752,8.4
2009Apr,4192725,60691,8.3
2009Mar,4147893,21343,6.2
2009Feb,4131352,39425,6.1
2009Jan,4090044,59070,5.0
2008Dec,3992465,33059,3.5
2008Nov,3967899,-8479,2.4
2008Oct,3976810,80733,3.3
2008Sep,3884567,58646,1.2
2008Aug,3822677,-11457,0.3
2008Jul,3829909,-28586,0.3
2008Jun,3856708,1243,1.8
2008May,3856669,13718,2.2
2008Apr,3841251,-18989,2.7
2008Mar,3859530,17904,3.2
2008Feb,3844770,-5127,3.4
2008Jan,3853544,2357,4.2
2007Dec,3838952,-9208,3.9
2007Nov,3853166,24765,6.2
2007Oct,3829470,-794,6.4
2007Sep,3831618,24367,6.5
2007Aug,3810090,-11844,6.5
2007Jul,3821599,29378,7.2
2007Jun,3792933,17147,6.2
2007May,3774622,29190,5.9
2007Apr,3744772,-63,6.0
2007Mar,3746022,27427,7.1
2007Feb,3719304,23855,6.9
2007Jan,3696757,-8367,7.0
2006Dec,3696413,70859,8.0
2006Nov,3618752,30208,6.5
2006Oct,3590274,646,6.2
2006Sep,3589586,22714,7.1
2006Aug,3566093,12051,7.0
2006Jul,3554045,-6114,7.4
2006Jun,3560231,6026,9.1
2006May,3553818,31196,10.4
2006Apr,3523740,36668,10.4
2006Mar,3488847,20105,9.9
2006Feb,3470479,23334,9.8
2006Jan,3445686,24795,10.1
2005Dec,3422279,20555,11.4
2005Nov,3390768,19159,10.5
2005Oct,3370621,27512,11.0
2005Sep,3343523,19322,10.9
2005Aug,3323473,22055,11.6
2005Jul,3302577,46072,11.5
2005Jun,3256960,40677,10.8
2005May,3054725,27794,10.2
2005Apr,3024122,17433,9.2
2005Mar,3006328,15347,9.1
2005Feb,2990384,26871,10.0
2005Jan,2963795,55368,9.8
2004Dec,2905953,-3689,8.7
2004Nov,2913177,27896,9.8
2004Oct,2888055,21189,9.1
2004Sep,2868123,34868,9.6
2004Aug,2834917,15019,9.1
2004Jul,2820299,23728,9.7
2004Jun,2796512,21211,9.7
2004May,2774765,-1384,9.7
2004Apr,2776949,15587,10.6
2004Mar,2760683,36424,11.5
2004Feb,2722810,19241,10.9
2004Jan,2704804,22655,11.3
2003Dec,2681722,23562,10.8
2003Nov,2663643,10142,10.6
2003Oct,2655345,31062,11.9
2003Sep,2623849,19809,11.2
2003Aug,2607442,28293,11.7
2003Jul,2576935,20266,11.3
2003Jun,2558373,19806,11.3
2003May,2549757,20924,11.0
2003Apr,2531994,33299,11.2
2003Mar,2499997,19486,11.5
2003Feb,2481185,26498,10.2
2003Jan,2454715,9403,9.1
2002Dec,2442884,18438,9.9
2002Nov,2417288,36800,9.1
2002Oct,2380902,11956,8.3
2002Sep,2369110,28694,8.3
2002Aug,2340395,17575,7.9
2002Jul,2323079,17704,7.9
2002Jun,2304238,12608,7.2
2002May,2293570,22239,7.4
2002Apr,2273547,36063,7.1
2002Mar,2238965,-9120,6.3
2002Feb,2248416,1393,6.7
2002Jan,2247196,24298,7.2
2001Dec,2221922,1933,6.1
2001Nov,2220198,16759,6.5
2001Oct,2202764,12610,5.6
2001Sep,2190698,17425,5.3
2001Aug,2173000,17094,4.0
2001Jul,2157872,875,3.6
2001Jun,2158667,16144,4.1
